id|code|description|typeCode|type
791|260Aromaticos C9. (D6729)|Aromaticos C9. (D6729)|DETE|Determinación
1696|05Aromaticos D6729 (%p/p)|Aromaticos D6729 (%p/p)|DETE|Determinación
1695|05Aromaticos D6729 (%v/v)|Aromaticos D6729 (%v/v)|DETE|Determinación
1573|Aromaticos en Aceite (PASA172)|Aromaticos en Aceite (PASA172)%p/p|DETE|Determinación
100|005Aromaticos tot.(ID3644)|Aromaticos tot.(ID3644)|DETE|Determinación
81|860Aromaticos.%v/v(D6729)|Aromaticos.%v/v(D6729)|DETE|Determinación
349|13Aromaticos.(ID3591)|Aromaticos.(ID3591)|DETE|Determinación
316|Arsenico (ID3524)|Arsenico (ID3524)|DETE|Determinación
1330|Arsenico (ppb)|Arsenico (ppb)|DETE|Determinación
1497|Arsenico (ppb) AA/Horno Grafito|Arsenico (ppb) AA/Horno Grafito|DETE|Determinación
1279|Arsenico (Prov.Ext.)|Arsenico (Prov.Ext.)|DETE|Determinación
1493|Arsenico ppm p/p (UOP387)|Arsenico ppm p/p (UOP387)|DETE|Determinación
1234|Asentamiento. IRAM6716|Asentamiento. IRAM6716|DETE|Determinación
1256|Asfaltenos %p/p. ASTM D3279|Asfaltenos %p/p. ASTM D3279|DETE|Determinación
200|Asfaltenos en aceite extendedor|Asfaltenos en aceite extendedor|DETE|Determinación
1646|Asignar calidad 3|Asignar calidad 3|DETE|Determinación
1197|Aspecto|Aspecto|DETE|Determinación
1250|Aspecto hidrocarburo|Aspecto hidrocarburo|DETE|Determinación
1253|Azufre %p. (ASTM D4294)|Azufre %p. (ASTM D4294)|DETE|Determinación
1185|Azufre %P.(ASTM D129)|Azufre %P.(ASTM D129)|DETE|Determinación
1172|Azufre mercaptanico -ASTM D3227|Azufre mercaptanico -% p/p|DETE|Determinación
1469|Azufre Mercaptanico ppm p/p.|Azufre Mercaptanico ppm p/p.ASTM D3227|DETE|Determinación
1401|Azufre ppm p/p (ASTM D4294)|Azufre ppm p/p (ASTM D4294)|DETE|Determinación
1740|Azufre tot. D5453 (mg/Kg)|Azufre tot. D5453 (mg/Kg)|DETE|Determinación
201|Azufre tot.(PASA062)|Azufre tot.(PASA062)|DETE|Determinación
55|Azufre tot.TRACOR ATLAS gas|Azufre tot.TRACOR ATLAS gas|DETE|Determinación
623|Azufre tot.TRACOR ATLAS liq.|Azufre tot.TRACOR ATLAS liq.|DETE|Determinación
1625|Azufre tot.TRACOR ATLAS ppm v/v|Azufre tot.TRACOR ATLAS ppm v/v|DETE|Determinación
1051|AZUFRE TOTAL (Odorante)|AZUFRE TOTAL (Odorante)|DETE|Determinación
1028|AZUFRE TOTAL EN MOTOGASOLINA %p|AZUFRE TOTAL EN MOTOGASOLINA %p/p|DETE|Determinación
1617|Azufre Total ppm p/p|Azufre Total ppm p/p (ASTM D6667)|DETE|Determinación
1251|Azufre total.Tracor Atlas|Azufre total.Tracor Atlas.(mg/m3). ASTM D4045|DETE|Determinación
1361|BACTERIAS AEROBIAS|BACTERIAS AEROBIAS|DETE|Determinación
1257|Bacterias aerobias  (Prov.Ext.)|Bacterias aerobias  (Prov.Ext.)|DETE|Determinación
1363|Bacterias Coliformes Tot.|Bacterias Coliformes Tot. (EFLW039)|DETE|Determinación
1427|Bacterias Precip. Hierro|Bacterias Precip. Hierro|DETE|Determinación
1428|Bacterias Sulfato Reductoras|Bacterias Sulfato Reductoras|DETE|Determinación
2008|Bario ( Prov.Ext.)|Bario ( Prov.Ext.)|DETE|Determinación
1303|Ben/Tol/Xil/Cu|Ben/Tol/Xil/Cu|DETE|Determinación
1512|110Benceno % (GC/MS)|Benceno % (GC/MS)|DETE|Determinación
1913|Benceno % p/p (D6563)|Benceno % p/p (D6563)|DETE|Determinación
1912|Benceno % p/p (D7504)|Benceno % p/p (D7504)|DETE|Determinación
890|Benceno % v/v. (D6729)|Benceno % v/v. D6729)|DETE|Determinación
1914|041Benceno %p/p (D6729)|Benceno %p/p (D6729)|DETE|Determinación
1647|020Benceno %p/p (UOP744)|Benceno %p/p (UOP744)|DETE|Determinación
1658|010Benceno %p/p (UOP920)|Benceno %p/p (UOP920)|DETE|Determinación
1529|Benceno %v(ASTM-D3606)|Benceno %v(ASTM-D3606)|DETE|Determinación
1398|Benceno %v/v|Benceno %v/v (PREREFLAB0501)|DETE|Determinación
1758|Benceno (%p/p)|Benceno (%p/p)|DETE|Determinación
1120|Benceno (D6229)|Benceno (D6229)|DETE|Determinación
1084|020Benceno (EPA5021)|Benceno (EPA5021)|DETE|Determinación
855|020Benceno (ID3534)|Benceno (ID3534)|DETE|Determinación
1477|Benceno (ID3591)|Benceno (ID3591)|DETE|Determinación
955|20Benceno (ID3646)|Benceno (ID3646)|DETE|Determinación
1307|Benceno (PASA151/2) % peso|Benceno (PASA151/2) % peso|DETE|Determinación
1262|Benceno (ppm) (ID3591)|Benceno (ppm) (ID3591)|DETE|Determinación
913|Benceno (Prov.Ext.)|Benceno (Prov.Ext.)|DETE|Determinación
1734|040Benceno D6729 (%v/v)|Benceno D6729 (%v/v)|DETE|Determinación
134|01Benceno en efl. liq.|Benceno en efl. liq.|DETE|Determinación
1579|01Benceno muestras solidas|Benceno muestras solidas ppm p/p|DETE|Determinación
