id|code|description|departmentId|type
1670958|33132923|33132923|121|
1700117|PRIMER PISO-COMP NH3-N1 OESTE|PRIMER PISO-COMP NH3-N1 OESTE|150|
1700118|ENTRE PISO-COMP NH3-N1 OESTE|ENTRE PISO-COMP NH3-N1 OESTE|150|
1700119|PLANTA BAJA-COMP NH3-N1 OESTE|PLANTA BAJA-COMP NH3-N1 OESTE|150|
1700120|PLANTA BAJA-COMP NH3-N2 ESTE|PLANTA BAJA-COMP NH3-N2 ESTE|150|
1700121|ENTRE PISO-COMP NH3-N2 ESTE|ENTRE PISO-COMP NH3-N2 ESTE|150|
1700122|PRIMER PISO-COMP NH3-N2 ESTE|PRIMER PISO-COMP NH3-N2 ESTE|150|
1736044|TK NAFTA CATALITICA|TK NAFTA CATALITICA|44|
1736046|TK NAFTA BASE SUPER|TK NAFTA BASE SUPER|44|
1736047|TK NAFTA BASE PODIUM|TK NAFTA BASE PODIUM|44|
1739520|Tk Tetralene PGSM|Tk Tetralene PGSM|18|
1772201|24044783|24044783|121|
1772202|21658901|21658901|121|
1772203|31815317|31815317|121|
1772204|27124801|27124801|121|
1783988|28624052|28624052|121|
1786141|23695165|23695165|121|
1825090|17460072|17460072|121|
1825091|23936472|23936472|121|
1825092|33720317|33720317|121|
1827525|18068068|18068068|121|
1827526|31537740|31537740|121|
1827527|30792353|30792353|121|
1827528|34752316|34752316|121|
1827529|29693810|29693810|121|
1834213|E19 Bloq. Bomba 32-D3-514|E19 Bloq. Bomba 32-D3-514|135|
1834215|E31 ASP.Bomba 32-D3-512|E31 ASP.Bomba 32-D3-512|135|
1834216|E35 Recic.bomba 32-D3-512|E35 Recic.bomba 32-D3-512|135|
1834217|E36 Desc. Benceno - camiones|E36 Desc. Benceno - camiones|135|
1834218|E37 Desc. 32-D3-626 al 32 -D9-5|E37 Desc. 32-D3-626 al 32 -D9-5|135|
1834220|E39 Barrido con vapor|E39 Barrido con vapor|135|
1834222|E40 Bypass recirculando/ entrad|E40 Bypass recirculando/ entrad|135|
